
Date de publication :15/12/2016


Code Série;QS.D.IEUEONIA;QS.D.IEUTIO1M;QS.D.IEUTIO3M;QS.D.IEUTIO6M;QS.D.IEUTIO9M;QS.D.IEUTIO1A
Titre;Taux interbancaire de l'argent au jour le jour ( EONIA );Taux de l'EURIBOR à 1 mois;Taux de l'EURIBOR 3 mois;Taux de l'EURIBOR à 6 mois;Taux de l'EURIBOR à 9 mois;Taux de l'EURIBOR à 12 mois
Mise à jour série;15/12/2016;15/12/2016;15/12/2016;15/12/2016;15/12/2016;15/12/2016
Unité;PCT;PCT;PCT;PCT;PCT;PCT
01/01/1999;ND;3,254;3,245;3,233;3,220;3,213
04/01/1999;3,200;3,242;3,234;3,223;3,214;3,209
05/01/1999;3,200;3,233;3,222;3,204;3,193;3,187
06/01/1999;3,210;3,226;3,214;3,197;3,183;3,176
07/01/1999;3,210;3,224;3,206;3,179;3,167;3,158
08/01/1999;3,210;3,217;3,196;3,166;3,149;3,139
11/01/1999;3,200;3,214;3,193;3,156;3,139;3,126
12/01/1999;3,190;3,213;3,190;3,153;3,135;3,122
13/01/1999;3,180;3,206;3,183;3,141;3,121;3,107
14/01/1999;3,160;3,191;3,163;3,121;3,095;3,083
15/01/1999;3,100;3,159;3,134;3,085;3,058;3,044
18/01/1999;3,020;3,121;3,102;3,056;3,033;3,021
19/01/1999;2,980;3,074;3,056;3,018;2,994;2,984
20/01/1999;3,010;3,074;3,054;3,014;2,993;2,985
21/01/1999;3,030;3,074;3,056;3,017;2,998;2,990
22/01/1999;3,070;3,086;3,059;3,018;2,997;2,990
25/01/1999;3,140;3,111;3,069;3,016;2,992;2,981
26/01/1999;3,220;3,134;3,080;3,020;2,993;2,984
27/01/1999;3,130;3,126;3,080;3,020;2,995;2,986
28/01/1999;3,120;3,123;3,077;3,017;2,991;2,981
29/01/1999;3,160;3,119;3,074;3,011;2,989;2,981
01/02/1999;3,170;3,126;3,078;3,017;2,994;2,988
02/02/1999;3,180;3,142;3,091;3,028;3,006;3,004
03/02/1999;3,180;3,151;3,098;3,035;3,014;3,012
04/02/1999;3,170;3,157;3,105;3,043;3,022;3,020
05/02/1999;3,150;3,156;3,107;3,044;3,025;3,026
08/02/1999;3,150;3,158;3,113;3,053;3,033;3,036
09/02/1999;3,130;3,157;3,112;3,054;3,038;3,041
10/02/1999;3,120;3,151;3,109;3,052;3,036;3,039
11/02/1999;3,100;3,146;3,106;3,051;3,037;3,041
12/02/1999;3,080;3,135;3,100;3,049;3,034;3,039
15/02/1999;3,060;3,123;3,099;3,048;3,035;3,041
16/02/1999;3,040;3,113;3,092;3,044;3,032;3,038
17/02/1999;3,030;3,103;3,086;3,040;3,029;3,034
18/02/1999;3,020;3,093;3,079;3,035;3,025;3,031
19/02/1999;3,030;3,092;3,077;3,033;3,024;3,030
22/02/1999;3,050;3,093;3,075;3,029;3,019;3,025
23/02/1999;3,340;3,098;3,076;3,026;3,017;3,023
24/02/1999;3,130;3,102;3,079;3,027;3,017;3,023
25/02/1999;3,110;3,111;3,087;3,038;3,026;3,036
26/02/1999;3,120;3,120;3,098;3,055;3,048;3,071
01/03/1999;3,120;3,122;3,099;3,059;3,055;3,079
02/03/1999;3,110;3,130;3,115;3,100;3,105;3,148
03/03/1999;3,080;3,123;3,112;3,099;3,104;3,146
04/03/1999;3,060;3,115;3,111;3,102;3,106;3,151
05/03/1999;3,040;3,109;3,104;3,092;3,096;3,130
08/03/1999;3,030;3,100;3,093;3,068;3,067;3,097
09/03/1999;3,030;3,095;3,087;3,061;3,058;3,084
10/03/1999;3,020;3,086;3,081;3,055;3,051;3,078
11/03/1999;2,990;3,076;3,074;3,050;3,046;3,072
12/03/1999;2,920;3,047;3,047;3,024;3,019;3,029
15/03/1999;2,900;3,038;3,039;3,015;3,011;3,026
16/03/1999;2,900;3,036;3,036;3,015;3,009;3,027
17/03/1999;2,980;3,042;3,038;3,017;3,009;3,027
18/03/1999;2,950;3,037;3,032;3,010;3,001;3,019
19/03/1999;2,650;3,031;3,027;3,003;2,993;3,012
22/03/1999;2,190;3,025;3,020;2,999;2,991;3,009
23/03/1999;2,390;3,024;3,019;2,999;2,991;3,011
24/03/1999;2,980;3,020;3,014;2,995;2,987;3,010
25/03/1999;2,990;3,008;2,998;2,975;2,968;2,992
26/03/1999;2,990;3,004;2,991;2,967;2,962;2,985
29/03/1999;2,990;3,002;2,985;2,963;2,959;2,985
30/03/1999;2,980;2,998;2,981;2,956;2,968;2,978
31/03/1999;2,990;2,992;2,971;2,950;2,961;2,967
01/04/1999;2,980;2,963;2,942;2,920;2,937;2,939
02/04/1999;2,960;2,952;2,929;2,914;2,931;2,932
05/04/1999;2,970;2,951;2,929;2,912;2,930;2,930
06/04/1999;2,980;2,933;2,905;2,889;2,906;2,907
07/04/1999;3,080;2,929;2,900;2,883;2,900;2,903
08/04/1999;3,110;2,927;2,895;2,879;2,898;2,899
09/04/1999;2,810;2,660;2,660;2,676;2,713;2,719
12/04/1999;2,770;2,661;2,661;2,673;2,709;2,715
13/04/1999;2,730;2,647;2,651;2,663;2,704;2,713
14/04/1999;2,600;2,632;2,637;2,653;2,700;2,709
15/04/1999;2,580;2,622;2,628;2,647;2,697;2,707
16/04/1999;2,550;2,615;2,626;2,644;2,698;2,710
19/04/1999;2,510;2,606;2,621;2,637;2,695;2,707
20/04/1999;2,470;2,594;2,610;2,626;2,689;2,700
21/04/1999;2,470;2,582;2,601;2,618;2,680;2,692
22/04/1999;2,470;2,577;2,596;2,613;2,673;2,685
23/04/1999;2,930;2,578;2,594;2,613;2,671;2,683
26/04/1999;2,530;2,574;2,591;2,611;2,666;2,681
27/04/1999;2,530;2,573;2,590;2,608;2,666;2,677
28/04/1999;2,520;2,571;2,588;2,607;2,665;2,678
29/04/1999;2,520;2,569;2,585;2,605;2,664;2,678
30/04/1999;2,530;2,568;2,583;2,604;2,663;2,676
03/05/1999;2,520;2,568;2,583;2,604;2,665;2,680
04/05/1999;2,510;2,567;2,581;2,603;2,664;2,680
05/05/1999;2,510;2,566;2,581;2,604;2,666;2,684
06/05/1999;2,510;2,565;2,579;2,602;2,665;2,683
07/05/1999;2,510;2,566;2,581;2,605;2,672;2,691
10/05/1999;2,510;2,565;2,582;2,604;2,671;2,691
11/05/1999;2,510;2,564;2,579;2,602;2,669;2,688
12/05/1999;2,510;2,563;2,578;2,599;2,668;2,686
13/05/1999;ND;ND;ND;ND;ND;ND
14/05/1999;2,510;2,557;2,570;2,586;2,652;2,668
17/05/1999;2,520;2,560;2,575;2,592;2,659;2,678
18/05/1999;2,530;2,560;2,576;2,592;2,658;2,677
19/05/1999;2,640;2,576;2,583;2,597;2,666;2,688
20/05/1999;3,020;2,577;2,584;2,598;2,667;2,688
21/05/1999;2,610;2,574;2,581;2,597;2,665;2,686
24/05/1999;2,540;2,569;2,579;2,596;2,662;2,682
25/05/1999;2,540;2,569;2,579;2,596;2,659;2,679
26/05/1999;2,520;2,566;2,577;2,594;2,656;2,678
27/05/1999;2,510;2,565;2,577;2,593;2,657;2,678
28/05/1999;2,510;2,565;2,578;2,596;2,661;2,685
31/05/1999;2,520;2,566;2,578;2,596;2,663;2,687
01/06/1999;2,520;2,571;2,585;2,615;2,692;2,735
02/06/1999;2,530;2,577;2,601;2,657;2,754;2,812
03/06/1999;2,540;2,575;2,597;2,649;2,741;2,784
04/06/1999;2,540;2,576;2,597;2,651;2,747;2,795
07/06/1999;2,540;2,579;2,602;2,654;2,754;2,805
08/06/1999;2,540;2,582;2,600;2,648;2,743;2,784
09/06/1999;2,540;2,583;2,603;2,647;2,743;2,781
10/06/1999;2,540;2,585;2,605;2,651;2,749;2,794
11/06/1999;2,550;2,599;2,619;2,667;2,779;2,831
14/06/1999;2,550;2,602;2,623;2,670;2,781;2,836
15/06/1999;2,550;2,603;2,625;2,672;2,783;2,838
16/06/1999;2,560;2,607;2,628;2,671;2,784;2,838
17/06/1999;2,580;2,612;2,632;2,670;2,781;2,834
18/06/1999;2,600;2,616;2,632;2,665;2,775;2,819
21/06/1999;2,670;2,625;2,637;2,668;2,774;2,817
22/06/1999;2,660;2,631;2,645;2,676;2,789;2,842
23/06/1999;2,230;2,628;2,647;2,679;2,800;2,856
24/06/1999;2,550;2,627;2,649;2,688;2,811;2,878
25/06/1999;2,580;2,631;2,660;2,712;2,841;2,928
28/06/1999;2,600;2,636;2,664;2,718;2,847;2,928
29/06/1999;2,660;2,639;2,667;2,811;2,851;2,927
30/06/1999;2,760;2,636;2,669;2,823;2,859;2,936
01/07/1999;2,600;2,631;2,655;2,811;2,845;2,910
02/07/1999;2,580;2,636;2,663;2,841;2,886;2,956
05/07/1999;2,570;2,634;2,662;2,843;2,885;2,956
06/07/1999;2,560;2,633;2,663;2,851;2,898;2,971
07/07/1999;2,540;2,624;2,663;2,853;2,900;2,976
08/07/1999;2,540;2,623;2,664;2,860;2,905;2,983
09/07/1999;2,540;2,624;2,665;2,865;2,907;2,991
12/07/1999;2,540;2,625;2,665;2,868;2,908;2,997
13/07/1999;2,550;2,625;2,666;2,868;2,908;2,994
14/07/1999;2,560;2,626;2,664;2,866;2,903;2,977
15/07/1999;2,590;2,629;2,663;2,860;2,896;2,964
16/07/1999;2,620;2,650;2,693;2,932;2,974;3,069
19/07/1999;2,630;2,659;2,699;2,942;2,993;3,091
20/07/1999;2,630;2,663;2,703;2,948;2,999;3,094
21/07/1999;2,600;2,658;2,697;2,937;2,989;3,075
22/07/1999;2,040;2,632;2,681;2,917;2,970;3,050
23/07/1999;1,870;2,632;2,685;2,932;2,994;3,090
26/07/1999;2,570;2,630;2,685;2,941;3,002;3,094
27/07/1999;2,590;2,631;2,685;2,943;3,001;3,093
28/07/1999;2,580;2,630;2,685;2,944;3,001;3,095
29/07/1999;2,580;2,631;2,686;2,954;3,010;3,104
